Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,28402.929688,28402.929688,24681.009766,25409.359375,25409.359375,3019270000
2020-03-02,25590.509766,27102.339844,25226.619141,25864.779297,25864.779297,2819020000
2020-03-09,24992.359375,25020.990234,21154.460938,23185.619141,23185.619141,3820590000
2020-03-16,20917.529297,21768.279297,18917.460938,19173.980469,19173.980469,4087140000
2020-03-23,19028.359375,22595.060547,18213.650391,21636.779297,21636.779297,3677640000
2020-03-30,21678.220703,22480.369141,20735.019531,21052.529297,21052.529297,2602980000
2020-04-06,21693.630859,24008.990234,21693.630859,23719.369141,23719.369141,2244560000
2020-04-13,23698.929688,24264.210938,23095.349609,24242.490234,24242.490234,2314860000
2020-04-20,24095.099609,24108.689453,22941.880859,23775.269531,23775.269531,2026740000
2020-04-27,23866.150391,24764.769531,23645.300781,23723.689453,23723.689453,2150930000
2020-05-04,23581.550781,24349.900391,23361.160156,24331.320313,24331.320313,1808170000
2020-05-11,24256.449219,24382.089844,22789.619141,23685.419922,23685.419922,2146040000
2020-05-18,24059.980469,24718.460938,24059.980469,24465.160156,24465.160156,1827230000
2020-05-25,24781.839844,25758.789063,24781.839844,25383.109375,25383.109375,1741030000
2020-06-01,25342.990234,27338.300781,25220.660156,27110.980469,27110.980469,2004210000
2020-06-08,27232.929688,27580.210938,25078.410156,25605.539063,25605.539063,2422780000
2020-06-15,25270.390625,26611.029297,24843.179688,25871.460938,25871.460938,2277340000
2020-06-22,25865.080078,26314.970703,24971.029297,25015.550781,25015.550781,2217300000
2020-06-29,25152.449219,26204.410156,25096.160156,25827.359375,25827.359375,1511160000
2020-07-06,25996.080078,26297.529297,25523.509766,26075.300781,26075.300781,1750590000
2020-07-13,26225.070313,27071.330078,25994.980469,26671.949219,26671.949219,1795650000
2020-07-20,26660.289063,27035.240234,26402.859375,26469.890625,26469.890625,1992630000
2020-07-27,26447.669922,26625.460938,25992.279297,26428.320313,26428.320313,1949190000
2020-08-03,26542.320313,27456.240234,26534.380859,27433.480469,27433.480469,1795360000
2020-08-10,27488.210938,28154.880859,27488.210938,27931.019531,27931.019531,1764470000
2020-08-17,27970.050781,27999.810547,27526.250000,27930.330078,27930.330078,1551760000
2020-08-24,28077.580078,28733.349609,28041.750000,28653.869141,28653.869141,1823450000
2020-08-31,28643.660156,29199.349609,27664.679688,28133.310547,28133.310547,2824960000
2020-09-07,27925.230469,28206.210938,27447.080078,27665.640625,27665.640625,1919630000
2020-09-14,27718.740234,28364.769531,27487.970703,27657.419922,27657.419922,2347860000
2020-09-21,27484.710938,27484.710938,26537.009766,27173.960938,27173.960938,2240560000
2020-09-28,27362.140625,28041.460938,27338.089844,27682.810547,27682.810547,1924450000
2020-10-05,27825.419922,28676.289063,27728.029297,28586.900391,28586.900391,1720790000
2020-10-12,28671.119141,28957.900391,28181.539063,28606.310547,28606.310547,2075670000
2020-10-19,28633.550781,28711.929688,28040.179688,28335.570313,28335.570313,1685960000
2020-10-26,28185.820313,28185.820313,26143.769531,26501.599609,26501.599609,2191290000
2020-11-02,26691.279297,28495.050781,26691.279297,28323.400391,28323.400391,1895680000
2020-11-09,29467.900391,29933.830078,28902.130859,29479.810547,29479.810547,2295120000
